Item ID,Barcode,Title,Author,Genre
21651956,37365003061078,Every rising sun : a novel,"Ahmed, Jamila",Historical Fiction
20424898,37365002951618,Radiant fugitives : a novel,"Ahmed, Nawaaz",Literary Fiction
22522062,37365003180886,Confessions,"Airey, Catherine",Literary Fiction
22368023,37365003162959,Bright I burn,"Aitken, Molly",Historical Fiction
22400145,37365003171414,Coup de grÃ¢ce,"Ajram, Sofia",Literary Fiction
21986716,37365003125626,Almost surely dead,"Akhtar, Amina",Thriller
21165369,37365003091364,Kismet : a thriller,"Akhtar, Amina",Thriller
19934670,37365002994675,Homeland elegies,"Akhtar, Ayad.",Literary Fiction
22384573,37365003164765,Entitlement,"Alam, Rumaan",Literary Fiction
20132392,37365003017724,Leave the world behind : a novel,"Alam, Rumaan",Thriller
20194962,37365002928335,Silence is a sense : a novel,"AlAmmar, Layla",Literary Fiction
18005571,37365002773905,The king is always above the people : stories,"AlarcÃ³n, Daniel 1977-",Literary Fiction
1292511,37365004236265,The five people you meet in heaven,"Albom, Mitch 1958-",Literary Fiction
21993289,37365003124017,Don't want you like a best friend : a novel,"Alban, Emma R.",Romance
22338041,37365003160680,"You're the problem, it's you : a novel","Alban, Emma R.",Romance
3925658,37365004266809,For one more day,"Albom, Mitch 1958-",Literary Fiction
15121670,37365002558751,The first phone call from heaven,"Albom, Mitch 1958-",Literary Fiction
18675160,37365002828436,The next person you meet in Heaven,"Albom, Mitch 1958-",Literary Fiction
20582610,37365002967382,The stranger in the lifeboat : a novel,"Albom, Mitch 1958-",Literary Fiction
15331777,37365002573768,The daring ladies of Lowell,"Alcott, Kate",Historical Fiction
3568359,37365002478315,The dressmaker : a novel,"Alcott, Kate",Historical Fiction
21845571,37365003076290,The future : a novel,"Alderman, Naomi",Sci Fi
20534584,37365002963118,Sisters in arms : a novel of the daring Black women who served during World War II,"Alderson, Kaia",Historical Fiction
20424784,37365002950305,Ghosts : a novel,"Alderton, Dolly",Literary Fiction
21248778,37365003108911,"Meredith, alone","Alexander, Claire",Literary Fiction
20468632,37365002951998,I kissed a girl,"Alexander, Jennet",Romance
17315901,37365002707531,When love arrives : a novel,"Alexander, Johnnie",Christian Fiction
21402564,37365003037474,76 hours : a novel of Tarawa,"Alexander, Larry 1951-",Historical Fiction
22022183,37365003131053,In a not so perfect world : a novel,"Alexander, Neely Tubati",Romance
21054438,37365003092677,The littlest library : a novel,"Alexander, Poppy",Literary Fiction
21845283,37365003077249,A million little choices,"Alexander, Tamera",Christian Fiction
14224997,37365002506818,What happens at Christmas,"Alexander, Victoria.",Romance
19761056,37365002912891,A long night in Paris,"Alfon, Dov 1961-",Thriller
21023331,37365003051517,Among the innocent,"Alford, Mary (Romance fiction writer)",Christian Fiction
22318704,37365003158072,Silken gazelles : a novel,"Alharthi, Jokha",Literary Fiction
21807531,37365003071812,You've been served,"Alicia, Kristen",Romance
4077810,37365001323140,Daughter of fortune : a novel,"Allende, Isabel.",Historical Fiction
20389645,37365002951196,Miss Lattimore's letter,"Allain, Suzanne",Romance
19926415,37365003004649,Mr. Malcolm's list,"Allain, Suzanne",Romance
21978302,37365003121534,The ladies rewrite the rules,"Allain, Suzanne",Romance
22474908,37365003177502,The wrong Lady meets Lord Right,"Allain, Suzanne",Romance
2595803,37365002263733,Garden spells,"Allen, Sarah Addison.",Fantasy
22430212,37365003175886,The Sunflower House : a novel,"Allegri, Adriana",Literary Fiction
22238674,37365003147950,Curvy girl summer,"Allen, Danielle",Romance
20468341,37365002962664,Black girls must die exhausted : a novel,"Allen, Jayne 1978-",Literary Fiction
22437062,37365003166281,The most wonderful time : a novel,"Allen, Jayne 1978-",Romance
21174711,37365003093162,To capture his heart,"Allen, Nancy Campbell 1969-",Romance
21460765,37365003056748,Hard rain,"Allen, Samantha Jayne",Mystery
22072669,37365003136565,Next of kin : a novel,"Allen, Samantha Jayne",Mystery
20782522,37365003033127,Pay dirt road,"Allen, Samantha Jayne",Mystery
21059750,37365003089061,Other birds,"Allen, Sarah Addison",Fantasy
15991788,37365002616815,First frost,"Allen, Sarah Addison.",Fantasy
3154979,37365002385312,The girl who chased the moon : a novel,"Allen, Sarah Addison.",Fantasy
1365024,37365002436594,The peach keeper : a novel,"Allen, Sarah Addison.",Fantasy
19568504,37365002894115,A long petal of the sea : a novel,"Allende, Isabel",Historical Fiction
21652021,37365003061417,The wind knows my name : a novel,"Allende, Isabel",Historical Fiction
20715789,37365002978132,Violeta : a novel,"Allende, Isabel",Historical Fiction
16628295,37365002665465,The Japanese lover : a novel,"Allende, Isabel.",Historical Fiction
21019287,37365001304983,Cavedweller,"Allison, Dorothy 1949-2024",Literary Fiction
21745399,37365003071531,The ex-mas holidays,"Allison, Zoe",Romance
20855280,37365003032368,An unlasting home : a novel,"Al-Nakib, Mai 1970-",Literary Fiction
21207423,37365003105719,The doomsday show,"Alpert, Mark 1961-",Thriller
20782581,37365003023706,The tsarina's daughter : a novel,"Alpsten, Ellen 1971-",Historical Fiction
20550778,37365002965063,We know you remember : a novel,"Alsterdal, Tove 1960-",Mystery
21315693,37365003111212,You will never be found : a novel,"Alsterdal, Tove 1960-",Thriller
21054136,37365003035916,The perfect neighborhood,"Alterman, Liz",Thriller
22087284,37365003134248,The cemetery of untold stories : a novel,"Alvarez, Julia",Literary Fiction
20201810,37365002930125,A man named Doll,"Ames, Jonathan",Mystery
21315667,37365003109448,Locust Lane,"Amidon, Stephen",Thriller
21136566,37365003081795,The ghetto within : a novel,"Amigorena, Santiago H.",Historical Fiction
21059700,37365003081100,Mother of strangers,"Amiry, Suad",Historical Fiction
20479346,37365002953655,An Amish schoolroom : three stories,,Christian Fiction
21883459,37365003126921,The folly,"Amor, Gemma",Horror
20390106,37365002953721,The startup wife : a novel,"Anam, Tahmima 1975-",Literary Fiction
3655786,37365002510018,A recipe for bees,"Anderson-Dargatz, Gail 1963-",Literary Fiction
2370799,37365004245027,Hissy fit,"Andrews, Mary Kay 1954-",Romance
4118700,37365004245266,Little bitty lies,"Andrews, Mary Kay 1954-",Romance
1314350,37365004260976,Savannah breeze,"Andrews, Mary Kay 1954-",Romance
21398092,37365003113929,Lover man,"Anderson, Alston 1924-2008",Literary Fiction
18072009,37365002774499,The Christmas room,"Anderson, Catherine (Adeline Catherine)",Romance
18230511,37365002791402,Green sun : a novel,"Anderson, Kent 1945-",Mystery
20582617,37365002969149,The throwback list,"Anderson, Lily 1988-",Romance
22263043,37365003156126,Nicked,"Anderson, M. T.",Fantasy
20218342,37365002944555,Isabelle and Alexander,"Anderson, Rebecca 1973-",Romance
22107285,37365003134347,The orchids of Ashthorne Hall,"Anderson, Rebecca 1973-",Romance
21870607,37365003075425,Leave the lights on : a novel,"Andersson, Liv",Thriller
2206019,37365002352783,The fixer upper,"Andrews, Mary Kay 1954-",Romance
20171033,37365002924102,Who is Maud Dixon? : a novel,"Andrews, Alexandra",Thriller
20350736,37365002938987,Sons of valor,"Andrews, Brian 1973-",Thriller
21689363,37365003071697,The sandbox,"Andrews, Brian 1973-",Thriller
16160107,37365002631764,Beach town,"Andrews, Mary Kay 1954-",Romance
21745267,37365003071309,"Bright lights, big Christmas : a novel","Andrews, Mary Kay 1954-",Romance
19719398,37365002907164,"Hello, summer","Andrews, Mary Kay 1954-",Romance
14807449,37365002629016,Ladies night : a novel,"Andrews, Mary Kay 1954-",Romance
15543490,37365002587941,Save the date,"Andrews, Mary Kay 1954-",Romance
2421006,37365002436677,Summer rental,"Andrews, Mary Kay 1954-",Romance
22167632,37365003138942,Summers at the Saint,"Andrews, Mary Kay 1954-",Romance
19063747,37365002860231,Sunset Beach,"Andrews, Mary Kay 1954-",Romance
18425837,37365002805079,The High Tide Club,"Andrews, Mary Kay 1954-",Romance
20540797,37365002962656,The Santa suit,"Andrews, Mary Kay 1954-",Romance
20925929,37365003035445,The homewreckers : a novel,"Andrews, Mary Kay 1954-",Romance
20250344,37365002931297,The newcomer,"Andrews, Mary Kay 1954-",Romance
17019131,37365002693525,The weekenders,"Andrews, Mary Kay 1954-",Romance
20183312,37365002922106,The umbrella lady : a novel,"Andrews, V. C. (Virginia C.)",Thriller
20649363,37365002969875,Out of the rain,"Andrews, V. C. (Virginia C.)",Thriller
20869913,37365003024514,The Duke's pursuit,Golden Angel,Romance
21369064,37365003056276,A country you can leave,"Angel-Ajani, Asale",Literary Fiction
21190810,37365003094459,The Shinnery : a novel,"Anger, Kate",Historical Fiction
22337894,37365003160771,Not what she seems : a novel,"Angoe, Yasmin",Thriller
20609994,37365002967663,Her name is Knight,"Angoe, Yasmin",Thriller
21054161,37365003099821,Sirens & muses : a novel,"Angress, Antonia",Literary Fiction
21534559,37365003040593,Pas de don't,"Angyal, Chloe",Romance
22242248,37365003148727,Pointe of pride,"Angyal, Chloe",Romance
21163044,37365003090952,The Book Haters' Book Club,"Anthony, Gretchen",Literary Fiction
22326531,37365003159138,The most,"Anthony, Jessica 1974-",Literary Fiction
20715829,37365002979601,Bibliolepsy,"Apostol, Gina",Literary Fiction
21603155,37365003042920,The sky above the roof : a novel,"Appanah-Mouriquand, Nathacha 1973-",Literary Fiction
21651857,37365003073537,"Poland, a green land : a novel","Apelfeld, Aharon",Historical Fiction
21427136,37365003116179,Rootless : a novel,"Appiah, Krystle Zara",Literary Fiction
20623965,37365002968356,The Bennet women,"Appiah-Kubi, Eden",Romance
2171376,37365004260117,False impression,"Archer, Jeffrey 1940-",Thriller
4125559,37365004231704,Sons of fortune,"Archer, Jeffrey 1940-",Thriller
4112305,37365004273318,A prisoner of birth,"Archer, Jeffrey 1940-",Thriller
94865,37365004274829,Paths of glory,"Archer, Jeffrey 1940-",Thriller
15348835,37365004282400,Be careful what you wish for,"Archer, Jeffrey 1940-",Thriller
16845484,37365002679185,Cometh the hour,"Archer, Jeffrey 1940-",Thriller
18722779,37365002834079,Heads you win,"Archer, Jeffrey 1940-",Thriller
16068419,37365004283853,Mightier than the sword,"Archer, Jeffrey 1940-",Thriller
3092008,37365004278697,Only time will tell,"Archer, Jeffrey 1940-",Thriller
17330179,37365002711228,This was a man : the final volume of the Clifton Chronicles,"Archer, Jeffrey 1940-",Thriller
19319111,37365002879603,Nothing ventured,"Archer, Jeffrey 1940-",Thriller
20194897,37365002929267,Turn a blind eye,"Archer, Jeffrey 1940-",Thriller
20550930,37365002965378,Over my dead body,"Archer, Jeffrey 1940-",Thriller
21185041,37365003094269,Next in line,"Archer, Jeffrey 1940-",Thriller
21745269,37365003071291,Traitors gate,"Archer, Jeffrey 1940-",Thriller
22404951,37365003165283,An eye for an eye,"Archer, Jeffrey 1940-",Thriller
20025521,37365003007873,Hidden in plain sight,"Archer, Jeffrey 1940-",Thriller
20322421,37365002934168,The children's train : a novel,"Ardone, Viola 1974-",Historical Fiction
21519140,37365003043035,The one : a novel,"Argy, Julia",Literary Fiction
22143112,37365003137134,When I think of you,"Ariel, Myah",Romance
18675182,37365002830945,The travelling cat chronicles,"Arikawa, Hiro 1972-",Literary Fiction
21195453,37365003096074,The American roommate experiment,"Armas, Elena",Romance
20817502,37365003021270,The Spanish love deception : a novel,"Armas, Elena",Romance
21745413,37365003070822,The long game : a novel,"Armas, Elena",Romance
21054203,37365003099755,Our wives under the sea,"Armfield, Julia",Horror
22474860,37365003181157,Private rites : a novel,"Armfield, Julia",Literary Fiction
21857431,37365003074949,Geneva,"Armitage, Richard 1971-",Thriller
20517235,37365002960106,The light of Luna Park,"Armstrong, Addison",Historical Fiction
21105648,37365003080169,The war librarian,"Armstrong, Addison",Historical Fiction
19972152,37365003013947,A stitch in time,"Armstrong, Kelley",Fantasy
21156733,37365003098575,A turn of the tide,"Armstrong, Kelley",Fantasy
20582621,37365002979296,A twist of fate,"Armstrong, Kelley",Fantasy
21745210,37365003069113,Hemlock Island : a novel,"Armstrong, Kelley",Horror
22400086,37365003172461,I'll be waiting : a novel,"Armstrong, Kelley",Thriller
22400160,37365003170994,Pearly Everlasting : a novel,"Armstrong, Tammy",Literary Fiction
17018374,37365002693756,City of the lost,"Armstrong, Kelley.",Thriller
17607182,37365002729568,A darkness absolute : a novel,"Armstrong, Kelley.",Thriller
18195906,37365002790594,This fallen prey,"Armstrong, Kelley.",Thriller
18911981,37365002848046,Watcher in the woods : a Rockton novel,"Armstrong, Kelley",Thriller
19585670,37365002901985,Alone in the wild,"Armstrong, Kelley",Thriller
20170777,37365003018409,A stranger in town,"Armstrong, Kelley",Thriller
20762160,37365002979460,The deepest of secrets,"Armstrong, Kelley",Thriller
21402616,37365003056185,Murder at Haven's rock,"Armstrong, Kelley",Thriller
20925864,37365003053885,A rip through time,"Armstrong, Kelley",Mystery
21598392,37365003041054,The poisoner's ring,"Armstrong, Kelley",Mystery
20360135,37365002944589,With teeth,"Arnett, Kristen",Literary Fiction
22522251,37365003180217,The unbecoming of Margaret Wolf : a novel,"ArsÃ©n, Isa",Literary Fiction
21044253,37365003055492,Happy is on hiatus,"Arthur, A. C. (Artist C.)",Romance
20390083,37365002946592,A passage north : a novel,"Arudpragasam, Anuk",Literary Fiction
21156689,37365003100280,When we were sisters : a novel,"Asghar, Fatimah",Literary Fiction
20799665,37365003024712,Under the golden sun : a novel,"Ashcroft, Jenny 1980-",Historical Fiction
21845457,37365003076878,The dance of the dolls,"Ashe, Lucy",Thriller
22359710,37365003161738,The sleeping beauties,"Ashe, Lucy",Thriller
21731713,37365003068511,The fine print,"Asher, Lauren 1995-",Romance
21710706,37365003063637,The roommate pact,"Ashley, Allison",Romance
21054551,37365003081738,Would you rather : a novel,"Ashley, Allison",Romance
20715839,37365003020520,Yonder : a novel,"Asim, Jabari 1962-",Historical Fiction
20110050,37365003015926,Black Buck,"Askaripour, Mateo",Literary Fiction
20715844,37365003021411,The stars are not yet bells,"Assadi, Hannah Lillith",Literary Fiction
40425,37365001294606,Behind the scenes at the museum,"Atkinson, Kate",Literary Fiction
4079375,37365004247577,Case histories : a novel,"Atkinson, Kate",Mystery
4105717,37365004238592,Not the end of the world : stories,"Atkinson, Kate",Literary Fiction
20206153,37365002924961,Magpie Lane,"Atkins, Lucy (Journalist)",Thriller
21182137,37365003093576,Shrines of gaiety : a novel,"Atkinson, Kate",Historical Fiction
1124707,37365002423469,"Started early, took my dog : a novel","Atkinson, Kate",Mystery
18676424,37365002825986,Transcription : a novel,"Atkinson, Kate",Historical Fiction
14734401,37365002531451,Life after life : a novel,"Atkinson, Kate.",Historical Fiction
19184517,37365002872921,Big sky,"Atkinson, Kate",Mystery
22353611,37365003161092,Death at the sign of the rook,"Atkinson, Kate",Mystery
20582503,37365002969784,The bad immigrant,"Atta, Sefi",Literary Fiction
20783314,37365003024811,The deep blue between,"Attah, Ayesha Harruna",Historical Fiction
22405061,37365003165473,A reason to see you again : a novel,"Attenberg, Jami",Literary Fiction
21689478,37365003071242,The oud player of Cairo : a novel,"Attia, Jasmin",Historical Fiction
687460,37365002375800,The year of the flood : a novel,"Atwood, Margaret 1939-",Sci Fi
15058454,37365002553828,MaddAddam : a novel,"Atwood, Margaret 1939-",Sci Fi
17677617,37365002735540,The Handmaid's Tale,"Atwood, Margaret 1939-",Sci Fi
16548034,37365002653800,The heart goes last,"Atwood, Margaret 1939-",Sci Fi
19342354,37365002880999,The testaments,"Atwood, Margaret 1939-",Sci Fi
20360154,37365002944662,The godmothers : a novel,"Aubray, Camille",Historical Fiction
20106438,37365003016627,The push : a novel,"Audrain, Ashley 1982-",Thriller
21652019,37365003069261,The whispers,"Audrain, Ashley 1982-",Thriller
4093381,37365000058143,The clan of the Cave Bear : a novel,"Auel, Jean M.",Historical Fiction
39252,37365001306897,The mammoth hunters,"Auel, Jean M.",Historical Fiction
3287916,37365004278051,The land of painted caves,"Auel, Jean M.",Historical Fiction
4125309,37365002649899,The shelters of stone,"Auel, Jean M.",Historical Fiction
22232468,37365003146499,Burn it all : a novel,"Auffarth, Maggie",Literary Fiction
20043856,37365003009580,Cover your tracks,"Auffenorde, Daco S.",Thriller
3328671,37365001229479,The complete novels of Jane Austen.,"Austen, Jane 1775-1817",Romance
22522265,37365003184516,We could be rats,"Austin, Emily (Emily R.)",Literary Fiction
20390019,37365002952210,Everyone in this room will someday be dead : a novel,"Austin, Emily R.",Literary Fiction
21986752,37365003124850,All my secrets,"Austin, Lynn N.",Christian Fiction
20354909,37365002939092,Chasing shadows,"Austin, Lynn N.",Christian Fiction
21518433,37365003038514,The last animal : a novel,"Ausubel, Ramona",Sci Fi
21689342,37365003067943,The year of second chances,"Avery, Lara",Romance
21845231,37365003076993,Courting Samira : a novel,"Awad, Amal",Romance
20424903,37365002958860,All's well,"Awad, Mona",Horror
19113290,37365002869240,Bunny,"Awad, Mona",Horror
21745294,37365003068818,Rouge : a novel,"Awad, Mona",Horror
20933946,37365003034760,Country of origin : a novel,"Azim, Dalia",Literary Fiction
20647511,37365003048141,Everything we didn't say,"Baart, Nicole",Thriller
21054183,37365003099235,Honey and spice : a novel,"Babalola, Bolu",Romance
20975027,37365003055393,First victim : a novel of suspense,"Babitt, Debbie",Thriller
4055066,37365001289564,The Bachman books : four early novels,"King, Stephen 1947-",Thriller
16300302,37365002637910,The water knife,"Bacigalupi, Paolo.",Sci Fi
19951015,37365002997306,Anxious people : a novel,"Backman, Fredrik 1981-",Literary Fiction
17691845,37365002736787,Beartown,"Backman, Fredrik 1981-",Literary Fiction
21185245,37365003093923,The winners : a novel,"Backman, Fredrik 1981-",Literary Fiction
18471962,37365002812935,Us against you : a novel,"Backman, Fredrik 1981-",Literary Fiction
17271051,37365002704546,A man called Ove,"Backman, Fredrik 1981-",Literary Fiction
19063713,37365002862047,Sidney Sheldon's The silent widow,"Bagshawe, Tilly",Thriller
1990171,37365004279596,Sidney Sheldon's Angel of the dark,"Bagshawe, Tilly.",Thriller
3714299,37365004275461,Sidney Sheldon's Mistress of the game,"Bagshawe, Tilly.",Thriller
20424950,37365002951543,Where the truth lies,"Bailey, Anna 1995-",Thriller
21398095,37365003113796,Secretly yours : a novel,"Bailey, Tessa",Romance
22262621,37365003154121,The au pair affair : a novel,"Bailey, Tessa",Romance
21605946,37365003042516,Unfortunately yours : a novel,"Bailey, Tessa",Romance
21814901,37365003072646,Wreck the halls : a novel,"Bailey, Tessa",Romance
20409547,37365002946857,It happened one summer : a novel,"Bailey, Tessa",Romance
20858408,37365003026618,"Hook, line, and sinker : a novel","Bailey, Tessa",Romance
22026508,37365003128075,Fangirl down : a novel,"Bailey, Tessa",Romance
16547927,37365002653677,Early one morning : a novel,"Baily, Virginia",Historical Fiction
20036107,37365003008913,Agatha Arch is afraid of everything : a novel,"Bair, Kristin",Literary Fiction
22418384,37365003166547,Christmas Eve love story,"Baird, Ginny",Romance
21488803,37365003118712,"Right girl, wrong side","Baird, Ginny",Romance
21885944,37365003076589,The holiday mix-up,"Baird, Ginny",Romance
20630765,37365002968059,The house of rust : a novel,"Bajaber, Khadija Abdalla",Fantasy
20447786,37365002951030,Have we met : a novel,"Baker, Camille",Romance
21651916,37365003061102,Cutting teeth,"Baker, Chandler",Thriller
20424808,37365002950503,The husbands,"Baker, Chandler",Thriller
20925914,37365003053869,Planes,"Baker, Peter C. 1984-",Literary Fiction
852097,37365004246413,Hour game : a novel,"Baldacci, David.",Thriller
4064384,37365000058317,Last man standing,"Baldacci, David.",Thriller
4127671,37365001361645,Saving faith,"Baldacci, David.",Thriller
3788556,37365004230375,The Christmas train,"Baldacci, David.",Thriller
860233,37365004256560,The camel club,"Baldacci, David.",Thriller
4091957,37365004265991,The collectors,"Baldacci, David.",Thriller
4131034,37365001291156,Total control,"Baldacci, David.",Thriller
4125899,37365004252114,Simply unforgettable,"Balogh, Mary.",Romance
3963270,37365004276717,Deliver us from evil,"Baldacci, David.",Thriller
3930847,37365004271395,Simple genius,"Baldacci, David.",Thriller
3260367,37365004272872,Stone cold,"Baldacci, David.",Thriller
22072742,37365003136094,A calamity of souls,"Baldacci, David",Thriller
19341806,37365002888380,A minute to midnight,"Baldacci, David",Thriller
18722776,37365002834244,Long road to Mercy,"Baldacci, David",Thriller
17330194,37365002711053,No man's land,"Baldacci, David",Thriller
21460813,37365003038589,Simply lies,"Baldacci, David",Thriller
16659495,37365002667461,The guilty,"Baldacci, David",Thriller
15457605,37365004282590,The target,"Baldacci, David",Thriller
510988,37365004277574,Hell's corner,"Baldacci, David.",Thriller
15134957,37365004282103,King and Maxwell,"Baldacci, David.",Thriller
352212,37365004278432,One summer,"Baldacci, David.",Literary Fiction
15875701,37365004283572,The escape,"Baldacci, David.",Thriller
14289016,37365002941759,The forgotten,"Baldacci, David.",Thriller
14682405,37365004281220,The hit,"Baldacci, David.",Thriller
1991233,37365004279737,The innocent,"Baldacci, David.",Thriller
4039425,37365002436032,The simple truth,"Baldacci, David.",Thriller
2848361,37365004278242,The sixth man,"Baldacci, David.",Thriller
4103618,37365002436040,The winner,"Baldacci, David.",Thriller
687183,37365002937070,True blue,"Baldacci, David.",Thriller
4043762,37365002720815,Wish you well,"Baldacci, David.",Historical Fiction
3156584,37365004278945,Zero day : a novel,"Baldacci, David.",Thriller
15523524,37365004282822,FaceOff,,Thriller
21054140,37365003036179,The 6:20 man,"Baldacci, David",Thriller
21845556,37365003077041,The edge,"Baldacci, David",Thriller
22474884,37365003184029,To die for,"Baldacci, David",Thriller
16182690,37365004284117,Memory man,"Baldacci, David",Thriller
16914921,37365002689382,The last mile,"Baldacci, David",Thriller
17687741,37365002733925,The fix,"Baldacci, David",Thriller
18280466,37365002797474,The fallen,"Baldacci, David",Thriller
18997338,37365002858466,Redemption,"Baldacci, David",Thriller
19702389,37365002919805,Walk the wire,"Baldacci, David",Thriller
21215210,37365003098500,Long shadows,"Baldacci, David",Thriller
19211435,37365002873168,One good deed,"Baldacci, David",Mystery
20194925,37365002930117,A gambling man,"Baldacci, David",Mystery
20782578,37365003032863,Dream town,"Baldacci, David",Mystery
19997401,37365003008152,Daylight,"Baldacci, David",Thriller
20582584,37365002968687,Mercy,"Baldacci, David",Thriller
20496586,37365002957813,Split second,"Baldacci, David",Thriller
15773271,37365002605149,Early novels and stories: Go tell it on the mountain ; Giovanni's room ; Another country ; Going to meet the man,"Baldwin, James 1924-1987",Literary Fiction
22333530,37365003160060,The volcano daughters,"Balibrera, Gina Maria",Literary Fiction
15348914,37365002575029,Silence once begun,"Ball, Jesse 1978-",Literary Fiction
20355113,37365002938847,The way through doors : a novel,"Ball, Jesse 1978-",Literary Fiction
21248818,37365003105784,The innocent one,"Ballantyne, Lisa",Thriller
22346046,37365003164112,All I want is you : a novel,"Ballard, Falon",Romance
21398101,37365003113937,Just my type : a novel,"Ballard, Falon",Romance
20762110,37365003022013,Lease on love : a novel,"Ballard, Falon",Romance
22045516,37365003129271,Right on cue,"Ballard, Falon",Romance
670292,37365002243453,Simply magic,"Balogh, Mary.",Romance
21939553,37365003122771,Always remember,"Balogh, Mary",Romance
21054250,37365003088543,Remember love,"Balogh, Mary",Romance
21625289,37365003059544,Remember me,"Balogh, Mary",Romance
1549973,37365002385452,A secret affair,"Balogh, Mary.",Romance
14005933,37365002491581,The proposal,"Balogh, Mary.",Romance
2847396,37365002449621,The secret mistress,"Balogh, Mary.",Romance
20925956,37365003050816,Deep water,"Bamford, Emma",Thriller
22323219,37365003159351,Eye of the beholder,"Bamford, Emma.",Thriller
